cluster,avg_size,median_size,avg_pnl,median_pnl,avg_fee,median_fee,avg_leverage,median_leverage,count
0,3237.032764374739,581.62,29.080838355388757,0.0,0.6650889637121202,0.087221,-30479.969546536544,102.2112,208369
1,143986.87123161764,108655.505,1218.5722967639706,0.0,31.98093003639706,26.421277500000002,9354.804404531618,7.443715,2720
2,926265.7231851851,618900.17,6836.274733066667,295.599175,150.26421175555555,139.498439,1994.382639111111,14.45477,135
